CompanyNumber,final_news_score,sentiment_direction
15763550,,neutral
8222686,,neutral
14921389,,neutral
5128007,,neutral
11216020,,neutral
13948791,,neutral
3481581,,neutral
4391899,,neutral
14122969,,neutral
15262741,,neutral
13274851,,neutral
15609115,,neutral
15577646,,neutral
6885551,,neutral
7093435,19.41341571336885,positive
4511776,,neutral
8773087,,neutral
3815135,,neutral
8477652,,neutral
15352169,,neutral
2986019,,neutral
10031248,,neutral
SC150707,,neutral
8390745,,neutral
14565387,,neutral
10718435,,neutral
7033930,,neutral
15452129,,neutral
13274439,,neutral
9367048,,neutral
10138187,,neutral
12990177,,neutral
12661582,,neutral
5600827,,neutral
14104300,,neutral
11550162,,neutral
14422549,,neutral
11996412,,neutral
15514914,,neutral
10934038,,neutral
11557436,,neutral
1975275,,neutral
14606315,,neutral
15651572,,neutral
12757772,,neutral
10913511,,neutral
8181108,,neutral
NI674014,,neutral
13162614,,neutral
9136358,,neutral
12217548,,neutral
4368997,,neutral
8825828,16.541273436516832,positive
7257306,,neutral
8846757,19.394690985294506,positive
13511942,,neutral
15353069,,neutral
SC655914,,neutral
3242863,,neutral
9020609,,neutral
14631429,,neutral
12667672,,neutral
10363930,,neutral
14647643,,neutral
15459156,,neutral
2783686,,neutral
1670710,,neutral
3030596,,neutral
13644071,,neutral
8232269,,neutral
12753739,,neutral
15755668,,neutral
11604189,,neutral
SC480741,,neutral
13506850,,neutral
2926315,,neutral
8557229,,neutral
15767612,,neutral
4633996,,neutral
14862786,,neutral
7556797,,neutral
12419632,,neutral
11006147,,neutral
14652200,,neutral
12152412,,neutral
10822837,,neutral
3328213,,neutral
SC173153,,neutral
14562974,,neutral
12520135,,neutral
10113098,,neutral
4011725,,neutral
10135652,,neutral
8402779,,neutral
1921073,,neutral
9791540,,neutral
8121625,,neutral
2136429,,neutral
13757658,,neutral
3829740,,neutral
14993658,,neutral
7954818,,neutral
11219796,,neutral
11465580,,neutral
15016811,,neutral
11774323,,neutral
8943885,,neutral
8679734,,neutral
2690531,,neutral
14666501,,neutral
15511051,,neutral
1907909,,neutral
6541933,,neutral
14394468,,neutral
3903389,,neutral
12984467,,neutral
3173516,,neutral
14875937,,neutral
15430192,,neutral
11360238,,neutral
12042009,,neutral
9811596,,neutral
13428654,,neutral
NI684504,,neutral
16054314,,neutral
2038954,,neutral
5815362,,neutral
13577826,,neutral
5008436,,neutral
1786358,,neutral
11324667,,neutral
12859858,,neutral
2485129,,neutral
2910364,,neutral
10447422,,neutral
13380529,,neutral
79665,12.013258216160475,neutral
15594850,,neutral
12516619,,neutral
SC160025,,neutral
12463464,,neutral
14575558,,neutral
11226722,,neutral
5911811,,neutral
12678264,,neutral
14258905,,neutral
8991604,,neutral
13417477,,neutral
9550155,,neutral
NI682223,,neutral
9056024,,neutral
13683327,,neutral
8930156,,neutral
14231103,,neutral
SC379972,,neutral
13668689,,neutral
12408973,,neutral
SC194548,14.479858945454533,positive
5062547,,neutral
10992249,,neutral
11232334,,neutral
9883373,,neutral
8371869,,neutral
12838876,,neutral
8672790,,neutral
5056770,,neutral
14455022,,neutral
8280049,,neutral
SC482346,,neutral
6604104,,neutral
13939239,,neutral
12615122,,neutral
13736318,,neutral
12402992,,neutral
4569896,,neutral
SC164768,,neutral
1476727,,neutral
11117145,,neutral
14135747,,neutral
3496997,,neutral
3550944,,neutral
11663964,,positive
13161377,,neutral
9757119,,neutral
16010034,,neutral
11665197,,neutral
2262928,,neutral
15931252,,neutral
7676132,,neutral
15690501,,neutral
10262017,,neutral
8954672,,neutral
6310161,,neutral
14838358,,neutral
11829724,34.68440435305422,positive
9104903,12.475130448040817,positive
9885653,,neutral
8059632,,neutral
13429966,,neutral
12470527,,neutral
13015041,,neutral
15348813,,neutral
14618999,,neutral
6229854,,neutral
11617452,,neutral
2543294,,neutral
10096437,,neutral
SC781467,,neutral
9830324,51.34239275254914,negative
4150023,,neutral
6540175,,neutral
14673877,,neutral
10323367,,neutral
8185212,,neutral
2763367,12.270572937611995,neutral
5863649,,neutral
11400438,,neutral
6624637,,neutral
7962884,,neutral
10092490,,neutral
6316096,,neutral
14623736,,neutral
13117355,,neutral
811177,,neutral
4035414,,neutral
13069161,,neutral
7159403,,neutral
10864468,,neutral
10634228,,neutral
4717021,,positive
11077830,,neutral
11216345,,neutral
5050538,,neutral
11930882,,neutral
8431272,,neutral
6625840,,neutral
11488775,,neutral
6593129,,neutral
13154450,,neutral
14843344,,neutral
14292313,,neutral
7870823,,neutral
15192391,,neutral
12960119,,neutral
5312527,,neutral
13060678,,neutral
SC570070,25.561362640691275,positive
15325952,,neutral
14464739,,neutral
14268794,48.53508896491272,positive
7355818,,neutral
10263569,,neutral
15572430,,neutral
1050935,,neutral
12926408,,neutral
8111859,,neutral
3494162,,neutral
15703480,,neutral
8408210,,neutral
434725,,neutral
5212412,,neutral
5911224,,neutral
10785701,,neutral
1459162,,neutral
